id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
564086,600,124,3,3,A Coruña,0,1,0,0
564088,550,65,2,1,A Coruña,0,1,0,1
564090,715,85,2,2,A Coruña,0,1,0,0
564091,890,110,3,2,A Coruña,0,1,0,0
564092,450,120,3,2,A Coruña,0,0,0,1
564094,475,90,3,1,A Coruña,0,0,0,1
564095,450,70,3,1,A Coruña,0,0,0,1
564096,450,37,1,1,A Coruña,0,0,0,1
564097,675,70,3,1,A Coruña,1,0,0,1
564098,1000,80,3,1,A Coruña,1,0,0,0
564099,550,80,3,1,A Coruña,0,0,0,1
564100,460,100,4,2,A Coruña,0,1,0,0
564101,350,85,3,2,A Coruña,0,0,0,1
564102,280,40,1,1,A Coruña,0,0,0,1
564103,290,30,1,1,A Coruña,0,0,0,0
564104,600,90,3,1,A Coruña,0,0,0,0
564108,400,75,3,1,A Coruña,0,0,0,0
564109,700,70,3,1,A Coruña,0,1,0,0
564110,400,60,2,1,A Coruña,0,0,0,0
564111,420,82,2,1,A Coruña,0,1,0,0
564114,600,90,3,1,A Coruña,0,0,0,0
564115,500,61,1,2,A Coruña,0,0,0,0
564119,320,35,1,1,A Coruña,0,0,0,1
564120,550,65,2,2,A Coruña,0,1,0,0
564121,475,58,2,1,A Coruña,0,1,0,0
564124,750,80,3,2,A Coruña,0,1,0,0
564126,400,90,3,1,A Coruña,1,0,0,0
564128,400,65,2,1,A Coruña,0,0,0,1
564129,575,86,3,1,A Coruña,0,1,0,0
564130,460,90,3,2,A Coruña,0,1,0,0
564131,450,90,3,2,A Coruña,0,1,0,0
564133,550,101,3,2,A Coruña,0,1,0,0
564134,350,85,2,1,A Coruña,0,0,0,0
564135,325,29,1,1,A Coruña,0,0,0,1
564137,475,105,4,2,A Coruña,0,1,0,0
564140,600,75,3,1,A Coruña,0,0,0,0
564141,600,80,3,1,A Coruña,0,0,0,0
564142,650,80,3,1,A Coruña,0,0,0,0
564143,800,90,4,2,A Coruña,0,0,0,0
564145,1300,180,3,2,A Coruña,1,0,0,0
564147,300,60,2,1,A Coruña,0,1,0,1
564150,1200,175,3,3,A Coruña,0,0,0,1
564151,900,81,3,2,A Coruña,0,1,0,1
564153,1200,110,4,2,A Coruña,0,1,0,0
564157,420,50,1,1,A Coruña,0,1,0,0
564158,450,87,3,1,A Coruña,0,1,0,0
564159,450,60,2,1,A Coruña,0,1,0,0
564162,475,84,3,1,A Coruña,0,0,0,1
564163,600,100,3,2,A Coruña,0,1,0,0
564164,335,89,3,1,A Coruña,0,0,0,0
564166,800,96,3,2,A Coruña,0,1,0,0
564168,1300,300,4,3,A Coruña,0,0,0,0
564170,600,70,2,1,A Coruña,0,1,0,0
564172,400,70,3,1,A Coruña,0,0,0,0
564173,350,75,2,1,A Coruña,0,0,0,0
564174,330,40,1,1,A Coruña,0,0,0,1
564175,340,45,2,1,A Coruña,0,0,0,0
564176,550,90,3,1,A Coruña,0,0,0,0
564179,500,90,3,2,A Coruña,0,0,0,0
564180,470,90,2,2,A Coruña,0,1,0,1
564181,280,30,1,1,A Coruña,0,0,0,0
564182,510,80,2,1,A Coruña,0,1,0,1
564183,800,135,4,2,A Coruña,1,0,0,0
564184,550,65,1,1,A Coruña,0,0,0,0
564185,600,95,4,2,A Coruña,0,1,0,0
564186,895,150,3,2,A Coruña,0,0,0,0
564187,340,65,2,1,A Coruña,0,0,0,1
564188,900,120,4,2,A Coruña,0,1,0,0
564189,400,84,3,1,A Coruña,0,0,0,0
564190,400,60,2,1,A Coruña,0,0,0,1
564191,2500,233,5,4,A Coruña,1,0,1,0
564193,410,136,3,2,A Coruña,0,1,0,0
564195,450,56,2,1,A Coruña,0,0,0,1
564196,380,68,2,1,A Coruña,0,1,0,1
564197,350,45,1,1,A Coruña,0,0,0,0
564201,360,85,3,1,A Coruña,0,0,0,1
564207,825,100,3,2,A Coruña,1,0,0,1
564208,420,65,2,1,A Coruña,0,0,0,0
564210,550,90,3,1,A Coruña,0,0,0,1
564211,430,90,4,1,A Coruña,0,0,0,1
564212,1400,120,4,2,A Coruña,0,0,0,0
564214,500,60,2,1,A Coruña,0,1,0,1
564215,800,100,4,1,A Coruña,0,0,0,1
564216,410,65,2,1,A Coruña,0,0,0,1
564218,550,80,2,2,A Coruña,0,1,0,0
564222,480,75,3,1,A Coruña,0,1,0,0
564224,390,90,3,1,A Coruña,0,0,0,1
564225,480,95,2,2,A Coruña,0,1,0,0
564227,330,80,3,1,A Coruña,0,0,0,0
564228,600,150,3,2,A Coruña,1,0,0,0
564230,300,100,2,1,A Coruña,0,0,0,0
564232,550,124,3,2,A Coruña,0,0,0,0
564234,575,75,3,1,A Coruña,1,1,0,0
564236,400,90,2,2,A Coruña,0,1,0,0
564237,465,70,2,2,A Coruña,0,1,0,0
564238,400,80,2,1,A Coruña,0,0,0,1
564240,650,90,3,2,A Coruña,1,0,0,1
564241,370,74,2,2,A Coruña,0,1,0,1
564244,500,110,4,2,A Coruña,0,1,0,0
564245,600,65,2,1,A Coruña,0,1,0,0
564246,420,75,2,1,A Coruña,0,1,0,0
564247,340,50,1,1,A Coruña,0,1,0,0
564248,510,75,4,2,A Coruña,0,1,0,1
564253,475,70,2,1,A Coruña,0,0,0,0
564254,425,145,3,2,A Coruña,0,1,0,0
564255,380,85,3,1,A Coruña,1,0,0,0
564261,500,75,2,1,A Coruña,0,0,0,0
564262,450,88,3,1,A Coruña,0,1,0,1
564271,700,62,1,1,A Coruña,0,0,0,0
564275,700,115,4,2,A Coruña,0,0,0,1
564276,630,100,3,1,A Coruña,0,1,0,0
564277,500,80,3,2,A Coruña,0,0,0,0
564281,550,100,4,1,A Coruña,0,0,0,0
564282,750,100,3,1,A Coruña,0,1,0,0
564283,400,85,3,1,A Coruña,0,0,0,1
564284,495,95,3,2,A Coruña,0,0,0,1
564285,500,80,3,1,A Coruña,0,0,0,0
564286,600,80,3,1,A Coruña,0,1,0,0
564287,550,90,3,1,A Coruña,0,0,0,0
564290,420,83,3,1,A Coruña,0,1,0,0
564291,1500,97,3,2,A Coruña,0,1,0,0
564292,400,87,3,1,A Coruña,0,0,0,1
564293,350,70,2,1,A Coruña,0,0,0,0
564294,400,80,2,1,A Coruña,0,0,0,0
564297,400,84,2,2,A Coruña,0,1,0,0
564299,1350,79,2,2,A Coruña,0,1,0,0
564301,400,70,3,1,A Coruña,0,0,0,1
564303,850,99,3,2,A Coruña,0,1,0,0
564304,400,74,2,1,A Coruña,0,0,0,0
564305,490,75,3,1,A Coruña,0,0,0,1
564307,600,80,3,2,A Coruña,0,0,0,1
564309,450,80,2,1,A Coruña,0,0,0,0
